rule,type,nlc,dc,sql,link
"In accordance with these Rules, bids may be solicited from a list of prequalified vendors",,Verify that bids are solicited only from a list of prequalified vendors.,,,FALSE
Pre-bid or pre-solicitation conferences may be conducted by the ACCO to explain the procurement requirements,,Check if the ACCO conducts pre-bid or pre-solicitation conferences to explain the procurement requirements.,,,FALSE
Written notice of any conference shall be provided to all prospective vendors,,Verify that written notice of any conference is provided to all prospective vendors.,,,FALSE
"A pre-bid conference should be held long enough after the IFB has been issued to allow bidders to become familiar with the solicitation documents, but sufficiently before bid opening to allow consideration of the conference results in preparing their bids",,"Verify that a pre-bid conference is held long enough after the IFB has been issued to allow bidders to become familiar with the solicitation documents, and sufficiently before bid opening to allow consideration of the conference results in preparing their bids.",,,FALSE
Nothing stated at the pre-bid conference shall change the IFB unless a change is made by amendment as provided in this section,,Verify that no changes to the IFB are made based on statements from the pre-bid conference unless those changes are made by amendment as provided in this section.,,,FALSE
A summary or transcript of the conference shall be prepared and shall be made available and shall be posted on the City’s website,,"Verify that a summary or transcript of the conference is prepared, made available, and posted on the City’s website.",,,FALSE
"A record of attendance shall be kept of all conferences, and shall be made available and shall be posted on the City’s website",,"Verify that a record of attendance is kept for all conferences, is made available, and is posted on the City’s website.",,,FALSE
The ACCO shall authorize the issuance of any amendment,,Verify that the ACCO has authorized the issuance of any amendment.,,,FALSE
"Each amendment to an IFB shall be identified as such, shall be set forth in writing, and shall require that the bidder acknowledge receipt of all amendments issued as a condition for consideration of its bid",,"Verify that each amendment to an IFB is identified as an amendment, is set forth in writing, and requires that the bidder acknowledges receipt of all amendments issued as a condition for consideration of its bid.",,,FALSE
The amendment shall reference the portion of the IFB it amends,,Verify that the amendment references the portion of the IFB it amends.,,,FALSE
Amendments shall be sent to all prospective vendors known to have received an IFB,,Verify that amendments are sent to all prospective vendors known to have received an IFB.,,,FALSE
Amendments shall be distributed within a reasonable time to allow prospective vendors to consider them in preparing their bids,,Verify that amendments are distributed within a reasonable time to allow prospective vendors to consider them in preparing their bids.,,,FALSE
"If the time and date set for receipt of bids will not permit such preparation, such time shall be increased to the extent possible, and stated in the amendment or shall be communicated by electronic mail, facsimile, or telephone and confirmed in the amendment",,"Verify that if the time and date set for receipt of bids do not permit preparation, the time is increased to the extent possible and stated in the amendment, or communicated by electronic mail, facsimile, or telephone and confirmed in the amendment.",,,FALSE
A notice of amendment shall be posted on the City’s website,,Verify that a notice of amendment is posted on the City’s website.,,,FALSE
Bids may be modified or withdrawn by written notice received in the office designated in the IFB before the time and date set for bid opening,,Verify that any modifications or withdrawals of bids are accompanied by a written notice received in the designated office before the time and date set for bid opening.,,,FALSE
"If a bid is withdrawn in accordance with this section, the bid security, if any, shall be returned to the bidder",,"Verify that for any bid withdrawn in accordance with this section, the bid security, if any, is returned to the bidder.",,,FALSE
Any bid received at the location designated in the solicitation after the time and date set for receipt of bids is late and shall not be considered,,Verify that no bid received at the location designated in the solicitation after the time and date set for receipt of bids is considered.,,,FALSE
Any request for withdrawal or modification received at the location designated in the solicitation after the time and date set for receipt of bids is late and shall not be considered,,Verify that any request for withdrawal or modification received at the designated location after the specified time and date for receipt of bids is not considered.,,,FALSE
Late bids and modifications shall not be opened until after registration of the contract,,Verify that late bids and modifications are not opened until after the registration of the contract.,,,FALSE
A late modification of a successful bid that makes its terms more favorable to the City shall be considered at any time it is received and may be accepted upon the approval of the ACCO,,Verify that any late modification of a successful bid that makes its terms more favorable to the City is considered at any time it is received and is accepted only upon the approval of the ACCO.,,,FALSE
"Upon its receipt, each bid and modification shall be time- and date-stamped, but not opened, and stored in a secure location until the time and date set for bid opening",,"Verify that upon receipt, each bid and modification is time- and date-stamped, is not opened, and is stored in a secure location until the time and date set for bid opening.",,,FALSE
Before bid opening the agency may not disclose the identity of any bidder,,Verify that the agency does not disclose the identity of any bidder before bid opening.,,,FALSE
"Bids and modifications will be opened publicly, at the time, date, and location designated in the IFB",,"Verify that bids and modifications are opened publicly at the time, date, and location designated in the IFB.",,,FALSE
"The name of each bidder, the bid price, and such other information as is deemed appropriate will be read aloud or otherwise made available",,"Verify that the name of each bidder, the bid price, and any other deemed appropriate information are read aloud or otherwise made available.",,,FALSE
"These requirements may be met through access to a computer terminal at the location where bids are to be opened, provided that paper documents are available upon request at the time of in-person bid opening",,"Verify that access to a computer terminal is available at the location where bids are to be opened, and ensure that paper documents are available upon request at the time of in-person bid opening.",,,FALSE
This information also will be recorded at the time of bid opening,,Verify that this information is recorded at the time of bid opening.,,,FALSE
The bids will be tabulated or a bid abstract prepared and made available for public inspection,,Verify that the bids are either tabulated or a bid abstract is prepared and made available for public inspection.,,,FALSE
The opened bids will be available for public inspection within five days of bid opening but in any case before vendor selection except to the extent the bidder designates trade secrets or other proprietary data to be confidential,,"Verify that all opened bids are available for public inspection within five days of bid opening and before vendor selection, except for parts designated as trade secrets or proprietary data by the bidder.",,,FALSE
Material so designated must accompany the bid and must be readily separable from the bid in order to facilitate public inspection of the nonconfidential portion of the bid,,Verify that the designated material accompanies the bid and is readily separable from the bid to facilitate public inspection of the nonconfidential portion of the bid.,,,FALSE
"Prices, makes, and model or catalog numbers of the items offered, deliveries, and terms of payment will be publicly available at a reasonable time after bid opening but in any event before vendor selection regardless of any designation to the contrary at the time of bid opening",,"Verify that prices, makes, model or catalog numbers of the items offered, deliveries, and terms of payment are publicly available at a reasonable time after bid opening and before vendor selection, regardless of any designation to the contrary at the time of bid opening.",,,FALSE
"For bids on construction contracts submitted in accordance with Section 3-02(b)(2)(xx)(J) of these Rules, the sealed list of subcontractors submitted with the low bid will be opened after such low bid has been announced and the names of the subcontractors shall be announced",,"Verify that for bids on construction contracts submitted in accordance with Section 3-02(b)(2)(xx)(J), the sealed list of subcontractors submitted with the low bid is opened after the low bid has been announced and the names of the subcontractors are announced.",,,FALSE
The sealed lists of subcontractors submitted by all other bidders pursuant to Section 3-02(b)(2)(xx)(J) of these Rules will be returned to such bidders unopened after the contract award,,Verify that the sealed lists of subcontractors submitted by all other bidders are returned to them unopened after the contract award.,,,FALSE
The ACCO shall examine the bids to determine the validity of any requests for nondisclosure of trade secrets and other proprietary data identified in writing,,Verify that the ACCO examines the bids to determine the validity of any requests for nondisclosure of trade secrets and other proprietary data identified in writing.,,,FALSE
Nondisclosure is permissible only if approved by Agency Counsel,,Verify that nondisclosure is approved by Agency Counsel before it is considered permissible.,,,FALSE
Any decision not to honor a request for confidentiality shall be communicated in writing to the bidder making the submission,,Verify that any decision not to honor a request for confidentiality is communicated in writing to the bidder making the submission.,,,FALSE
"Correction or withdrawal of a bid because of an inadvertent, nonjudgmental mistake in the bid requires careful consideration to protect the integrity of the competitive bidding system, and to assure fairness",,"Verify that any correction or withdrawal of a bid due to an inadvertent, nonjudgmental mistake is carefully considered to protect the integrity of the competitive bidding system and assure fairness.",,,FALSE
"If the mistake is attributable to an error in judgment, the bid may not be corrected",,Check if any bid that is attributable to an error in judgment has not been corrected.,,,FALSE
"Bid correction or withdrawal by reason of a non-judgmental mistake is permissible, but only to the extent that it is not contrary to the interest of the City or the fair treatment of other bidders",,Verify that any bid correction or withdrawal due to a non-judgmental mistake is not contrary to the interest of the City and does not affect the fair treatment of other bidders.,,,FALSE
A bidder may correct mistakes discovered before the time and date set for bid opening by withdrawing or correcting the bid as provided in Section 3-02(j) of these Rules,,"Check if any bidder has corrected mistakes by withdrawing or correcting the bid before the time and date set for bid opening, as provided in Section 3-02(j) of these Rules.",,,FALSE
"When the Contracting Officer knows or has reason to conclude after bids have been publicly opened that a mistake has been made, such officer shall request from the bidder written verification of the bid",,Verify that the Contracting Officer requests written verification of the bid from the bidder when they know or have reason to conclude after bids have been publicly opened that a mistake has been made.,,,FALSE
"If the bidder alleges mistake, the bid may be corrected or withdrawn upon approval of the ACCO if the following conditions are met",,"Verify that if a bidder alleges a mistake, the bid is corrected or withdrawn only upon approval of the ACCO and the specified conditions are met.",,,FALSE
"Minor informalities are matters of form, rather than substance, evident from the bid document or insignificant mistakes that can be waived or corrected without prejudice to other bidders; that is, the effect on price, quantity, quality, delivery, or contractual conditions is negligible",,"Verify that any minor informalities in the bid document are matters of form, not substance, and that they are insignificant mistakes that can be waived or corrected without affecting price, quantity, quality, delivery, or contractual conditions.",,,FALSE
The Contracting Officer may waive such informalities or allow the bidder to correct them depending on which is in the best interest of the City,,Check if the Contracting Officer has waived informalities or allowed the bidder to correct them based on the best interest of the City.,,,FALSE
"If the mistake and the intended correct bid are clearly evident on the face of the bid document, the bid shall be corrected to the intended correct bid and may not be withdrawn",,"Verify that if the mistake and the intended correct bid are clearly evident on the face of the bid document, the bid is corrected to the intended correct bid and is not withdrawn.",,,FALSE
Mistakes may not be corrected after bid opening,,Verify that no mistakes are corrected after bid opening.,,,FALSE
"A bidder may be permitted to withdraw a bid where a unilateral error or mistake has been discovered in the bid and the Contracting Officer makes the following determination, which shall be approved by the ACCO",,"Verify that a bidder is permitted to withdraw a bid only if a unilateral error or mistake has been discovered in the bid and the Contracting Officer has made the determination, which is approved by the ACCO.",,,FALSE
"Upon the approval of the ACCO, the bid may be withdrawn, and the bid bond or other security returned to the bidder",,"Verify that once the ACCO has approved, the bid is withdrawn and the bid bond or other security is returned to the bidder.",,,FALSE
"If the bid was the low bid or the bid that represents best value, then the contract shall either be awarded to the next lowest bidder or bidder that represents the next best value to the City, as appropriate, or resolicited pursuant to these Rules",,"Verify that if a bid was the low bid or represents the best value, the contract is either awarded to the next lowest bidder or the bidder that represents the next best value to the City, or the contract is resolicited according to these Rules.",,,FALSE
Under no circumstances shall a bid be amended or revised to rectify the error or mistake,,Verify that no bid is amended or revised to rectify any error or mistake.,,,FALSE
"Mistakes shall not be corrected after vendor selection except where the ACCO, subject to the approval of the CCPO, makes a determination that it would be unconscionable not to allow the mistake to be corrected",,"Verify that no mistakes are corrected after vendor selection unless the ACCO, with the approval of the CCPO, has determined that it would be unconscionable not to allow the correction.",,,FALSE
"When a bid is corrected or withdrawn, or correction or withdrawal is denied, the ACCO shall prepare a determination showing that the relief was granted or denied in accordance with these Rules",,"Verify that when a bid is corrected or withdrawn, or when correction or withdrawal is denied, the ACCO has prepared a determination showing that the relief was granted or denied in accordance with these Rules.",,,FALSE
"Except as provided for in Section 3-02(j) of these Rules a bidder may not withdraw its bid before the expiration of forty-five days after the date of the opening of bids; thereafter, a bidder may withdraw its bid only in writing and in advance of an actual award",,"Verify that no bidder withdraws its bid before the expiration of forty-five days after the date of the opening of bids, except as provided for in Section 3-02(j) of these Rules. Additionally, ensure that any bid withdrawal after this period is done in writing and in advance of an actual award.",,,FALSE
"The responsible bidder whose bid meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and whose bid price is the lowest responsive and responsible bid price or, if the IFB has so stated, the lowest responsive and responsible evaluated bid price, shall be selected for the contract",,"Verify that the selected bidder is the one whose bid meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and whose bid price is the lowest responsive and responsible bid price or, if the IFB has so stated, the lowest responsive and responsible evaluated bid price.",,,FALSE
A bid shall not be evaluated for any requirement or criterion that is not disclosed in the IFB,,Verify that no bid is evaluated for any requirement or criterion that is not disclosed in the IFB.,,,FALSE
"Prior to the bid, the ACCO will determine whether the goods or standard services will be awarded to the lowest responsive and responsible bidder or to the responsive and responsible bidder whose bid represents the best value to the City",,"Verify that prior to the bid, the ACCO determines if the goods or standard services are awarded to either the lowest responsive and responsible bidder or the responsive and responsible bidder whose bid represents the best value to the City.",,,FALSE
"The responsive and responsible bidder whose bid meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and whose bid price is the lowest, or whose bid represents the best value to the City by optimizing quality, cost and efficiency, will be selected for the contract",,"Verify that the selected bidder is responsive and responsible, meets the requirements and objectively measurable evaluation criteria set forth in the IFB, and either has the lowest bid price or represents the best value to the City by optimizing quality, cost, and efficiency.",,,FALSE
"If award will be made based on best value, best value may be determined by the ACCO, or the ACCO may convene a committee to make such determination",,"Verify that if an award is made based on best value, the best value is determined by the ACCO or a committee convened by the ACCO.",,,FALSE
"Any such committee must consist of persons with knowledge, expertise and experience sufficient to make a fair and reasonable determination",,"Verify that any such committee consists of persons with knowledge, expertise, and experience sufficient to make a fair and reasonable determination.",,,FALSE
"As set forth below the ACCO, or the committee as the case may be, may determine best value by consideration of price together with other factors deemed relevant by the ACCO and set forth in the IFB",,Verify that the ACCO or the committee determines best value by considering price along with other factors deemed relevant by the ACCO and set forth in the IFB.,,,FALSE
"In making such determination the ACCO, or committee, must consider the low responsive bid and the next low responsive bids that are within ten percent (10%) of the low responsive bid in price, including any bids that have been adjusted pursuant to subparagraph (iv) of this paragraph, or such higher percentage as approved by the CCPO either on an individual basis or by category or class",,"Verify that the ACCO or committee considers the low responsive bid and the next low responsive bids that are within ten percent of the low responsive bid in price, including any bids adjusted pursuant to subparagraph (iv), or such higher percentage as approved by the CCPO on an individual basis or by category or class.",,,FALSE
"The ACCO, or committee, may consider any and all information related to such factors in determining best value and may require additional information to be submitted by the bidders with the bid, or alternatively, within up to thirty (30) days from the bid opening from all bidders whose bids are to be considered pursuant to in Section 3-02(o)(1)(iii) of these Rules",,Verify that the ACCO or committee has considered all relevant information related to determining best value and has required additional information to be submitted by the bidders either with the bid or within thirty (30) days from the bid opening for all bidders whose bids are to be considered according to Section 3-02(o)(1)(iii) of these Rules.,,,FALSE
"If a committee is used to evaluate the bids, then written evaluation forms shall be completed to record the evaluation of the bids and shall be signed and dated by all members of the committee",,"Verify that if a committee is used to evaluate the bids, written evaluation forms are completed to record the evaluation of the bids and are signed and dated by all members of the committee.",,,FALSE
"If award will be made based on best value, a vendor that is an M/WBE or State-certified M/WBE must, except with the approval of the CCPO, be given a price preference of 10% and will be evaluated as if the bid price were 10% lower",,"Verify that if an award is made based on best value, a vendor that is an M/WBE or State-certified M/WBE is given a price preference of 10% and is evaluated as if the bid price were 10% lower, unless approved otherwise by the CCPO.",,,FALSE
A price preference of a different percentage may be given with approval from the CCPO,,Check if any price preference of a different percentage has been given with approval from the CCPO.,,,FALSE
"The price preference percentage, if any, shall be included in the IFB",,"Verify that the price preference percentage, if any, is included in the IFB.",,,FALSE
"Upon determination of the apparent lowest responsive and responsible bidder or responsive and responsible bidder providing best value, pursuant to Section 3-02(0)(1) of these Rules, and prior to award, the Contracting Officer may elect to open negotiations with the selected vendor in an effort to improve the bid to the City with respect to the price only if award will be made to the lowest responsive and responsible bidder, or if award will be made to the responsive and responsible bidder whose bid represents the best value to the City, with respect to any of the factors considered in determining best value",,"Verify that negotiations are opened with the selected vendor to improve the bid price only if the award is made to the lowest responsive and responsible bidder or to the bidder whose bid represents the best value to the City, considering the factors for determining best value.",,,FALSE
"In the event the apparent winning bidder declines to negotiate, the Contracting Officer may elect to either award the contract to the apparent winning bidder or may, upon written approval by the ACCO, reject all bids in accordance with this section",,"Check if, when the apparent winning bidder declines to negotiate, the Contracting Officer either awards the contract to the apparent winning bidder or, with written approval by the ACCO, rejects all bids.",,,FALSE
"The result of negotiations, if any, shall be documented in the Recommendation for Award",,Verify that the result of any negotiations is documented in the Recommendation for Award.,,,FALSE
"Upon the determination of the apparent winning bidder pursuant to Section 3-02(o)(1) of these Rules, a Recommendation for Award shall be approved by the ACCO and the contract shall be awarded to that bidder",,"Verify that upon the determination of the apparent winning bidder pursuant to Section 3-02(o)(1), a Recommendation for Award is approved by the ACCO and the contract is awarded to that bidder.",,,FALSE
"Where the award is based on best value to the City, the ACCO shall set forth in the Recommendation for Award the reasons that the bid represents the best value to the City and the factors considered by the agency",,"Verify that when the award is based on best value to the City, the ACCO has set forth in the Recommendation for Award the reasons that the bid represents the best value to the City and the factors considered by the agency.",,,FALSE
"In the case of low tie bids, the ACCO shall break the tie in the following order of priority. (i) Select a certified New York City minority owned, woman-owned or emerging business entity bidder; (ii) Select a New York City bidder; (iii) Select a certified New York State small, minority or woman-owned business bidder; (iv) Select a New York State bidder; (v) Conduct a drawing. Tie bidders shall be invited to witness the drawing",,"Verify that in the case of low tie bids, the ACCO breaks the tie by first selecting a certified New York City minority owned, woman-owned, or emerging business entity bidder. If none, select a New York City bidder. If still tied, select a certified New York State small, minority, or woman-owned business bidder. If still tied, select a New York State bidder. If still tied, conduct a drawing and invite tie bidders to witness the drawing.",,,FALSE
A witness shall be present to verify the drawing and shall certify the results on the bid tabulation sheet,,Verify that a witness is present to verify the drawing and has certified the results on the bid tabulation sheet.,,,FALSE
"A record shall be made of tie bids received, and the method used to break the tie",,Verify that a record is made of tie bids received and the method used to break the tie.,,,FALSE
The ACCO shall monitor the incidence of low tie bids in a systematic manner,,Verify that the ACCO is systematically monitoring the incidence of low tie bids.,,,FALSE
"When a single bid has been received in response to an IFB, a vendor may be selected only after the ACCO has determined that a sufficient number of other potentially responsive vendors have had a reasonable opportunity to bid; why, as a result of inquiries made by the agency, other vendors chose not to submit bids; that the bid submitted meets minimum requirements of the IFB; that the price is fair and reasonable, and that resolicitation is not in the best interest of the City",,"Verify that when a single bid is received in response to an IFB, a vendor is selected only after the ACCO has determined that a sufficient number of other potentially responsive vendors had a reasonable opportunity to bid, the reasons why other vendors chose not to submit bids as a result of agency inquiries, the bid submitted meets the minimum requirements of the IFB, the price is fair and reasonable, and resolicitation is not in the best interest of the City.",,,FALSE
"Unless alternate bids are requested in the solicitation, such bids may not be accepted",,Verify that alternate bids are not accepted unless they are requested in the solicitation.,,,FALSE
"If the ACCO determines that a bidder is either not responsible or not responsive, such bidder shall immediately be notified in writing of such determination and the reasons therefor, and the right to appeal the determination, if applicable",,"Verify that any bidder determined by the ACCO to be either not responsible or not responsive is immediately notified in writing of the determination, the reasons for the determination, and the right to appeal the determination, if applicable.",,,FALSE
A copy of the notification shall be filed with the CCPO and Comptroller,,Verify that a copy of the notification is filed with both the CCPO and Comptroller.,,,FALSE
Multiple award task order contracts for standard services or multiple award purchase order contracts for goods may be awarded upon a determination by the ACCO that it is in the best interest of the City to award multiple contracts for goods or standard services to multiple contractors and to allocate work among such contractors through a task order or purchase order system,,Verify that multiple award task order contracts for standard services or multiple award purchase order contracts for goods are awarded only upon a determination by the ACCO that it is in the best interest of the City to award multiple contracts for goods or standard services to multiple contractors and to allocate work among such contractors through a task order or purchase order system.,,,FALSE
"The criteria to be considered by the ACCO in making such determination may include the following: the nature of the goods or standard services to be procured; the expected frequency of task order or purchase order issuance; the capacity of vendors to provide all of the required services within the required timeframes; and the potential advantage of multiple contracts (e.g., more favorable terms; more competitive pricing, etc.)",,"Verify that the ACCO considers the following criteria in making determinations: the nature of the goods or standard services to be procured, the expected frequency of task order or purchase order issuance, the capacity of vendors to provide all of the required services within the required timeframes, and the potential advantage of multiple contracts, such as more favorable terms and more competitive pricing.",,,FALSE
"Multiple awards may be made for contracts for goods or standard services, pursuant to competitive sealed bids where award is made based on price only, or based on best value pursuant to the criteria set forth in Section 3-02(o)(1) of these Rules, in conjunction with the procedures prescribed in this subdivision.",,"Verify that multiple awards for contracts for goods or standard services are made pursuant to competitive sealed bids, either based on price only or based on best value according to the criteria in Section 3-02(o)(1), following the prescribed procedures.",,,FALSE
The IFB shall also state the procedures and criteria to be used in selecting the vendor to perform on an individual task order or goods to be purchased pursuant to an individual purchase order,,Verify that the IFB states the procedures and criteria used in selecting the vendor for an individual task order or goods to be purchased pursuant to an individual purchase order.,,,FALSE
"The agency may: (A) select the vendor that represents the best value to the City for that particular task order or purchase order, as determined pursuant to Section 3-02(o) of these Rules, based on each vendor’s bid",,"Verify that the agency selects the vendor that represents the best value to the City for each task order or purchase order, as determined pursuant to Section 3-02(o) of these Rules, based on each vendor’s bid.",,,FALSE
the agency may solicit offers for each task order or purchase order from all awarded vendors,,Check if the agency solicits offers for each task order or purchase order from all awarded vendors.,,,FALSE
"If the agency solicits offers for each task order or purchase order, each vendor shall receive each solicitation and have a reasonable opportunity to compete to provide the standard services or goods",,"Verify that for each task order or purchase order where the agency solicits offers, each vendor receives the solicitation and has a reasonable opportunity to compete to provide the standard services or goods.",,,FALSE
The agency may set forth an alternative method of assigning task orders or purchase orders if it is determined by the CCPO to be in the City’s best interest and is set forth in the IFB,,Check if the agency has set forth an alternative method of assigning task orders or purchase orders that is determined by the CCPO to be in the City’s best interest and is set forth in the IFB.,,,FALSE
"In the event that such alternative method is used for standard services, each vendor with a contract shall receive notice of assignment of each task order at the time each task order is issued, regardless of whether each vendor with a contract received the solicitation for the task order",,"Verify that each vendor with a contract receives notice of assignment of each task order at the time each task order is issued when an alternative method is used for standard services, regardless of whether the vendor received the solicitation for the task order.",,,FALSE
"rotation, or other non-discretionary method of assignment, including where assignment pursuant to such method may be varied based on stated criteria",,"Verify that assignments are made using rotation or another non-discretionary method, and check if variations in assignments are based on stated criteria.",,,FALSE
"In the event that a vendor selected pursuant to one of the selection methods in paragraphs (i) or (ii) above is unable to perform the services on an individual task order or provide the goods to be purchased pursuant to an individual purchase order for reasons such as lack of capacity or conflict of interest, the agency may disqualify that vendor for purposes of that task order and select another vendor with approval of the CCPO",,"Check if any vendor selected through the specified selection methods is unable to perform services or provide goods due to lack of capacity or conflict of interest, and verify that the agency disqualifies such a vendor and selects another vendor with CCPO approval for that task order.",,,FALSE
"Price shall be the primary factor considered in making individual vendor selection decisions, and no task order shall be issued unless the ACCO determines that the proposed price is fair and reasonable",,"Verify that price is the primary factor considered in making individual vendor selection decisions, and ensure that no task order is issued unless the ACCO has determined that the proposed price is fair and reasonable.",,,FALSE
Prices set forth in a multiple award contract shall represent maximum prices that may be set forth in individual task orders issued to that vendor,,Verify that prices set forth in a multiple award contract represent maximum prices that are set forth in individual task orders issued to the vendor.,,,FALSE
"Unless otherwise approved by the CCPO, contracts awarded pursuant to this subdivision shall have a total term including all renewals, of not more than five years, provided that any such contract may be extended for an additional period of one year beyond the date of expiration of such contract in accordance with § 4-02(b)(1)(iii) of these Rules",,"Verify that contracts awarded pursuant to this subdivision have a total term, including all renewals, of not more than five years unless approved by the CCPO, and check if any such contract is extended for an additional period of one year beyond the expiration date in accordance with § 4-02(b)(1)(iii) of these Rules.",,,FALSE
"Task orders, or purchase orders may extend beyond the expiration of the contract term, in which event the terms and conditions of the contract shall continue to apply to the task order or purchase order until its termination or expiration",,"Verify that for any task order or purchase order extending beyond the expiration of the contract term, the terms and conditions of the contract continue to apply until the task order or purchase order's termination or expiration.",,,FALSE
"Task orders, or purchase orders, shall have a maximum term of three years or, if issued for a specific project, until the specific project is completed",,"Verify that task orders or purchase orders have a maximum term of three years, or if issued for a specific project, that they are valid until the specific project is completed.",,,FALSE
"Notwithstanding the above, a task order may be extended beyond, or further extended beyond, the expiration of the contract term or beyond the expiration of the task order with the CCPO’s approval, which must be obtained in a manner prescribed by the CCPO",,Verify that any extension of a task order beyond the expiration of the contract term or beyond the expiration of the task order has been approved by the CCPO in the manner prescribed by the CCPO.,,,FALSE
The ACCO may reject all bids and may elect to resolicit by bid in accordance with this section or by other method authorized by these Rules,,Check if the ACCO has rejected all bids and has elected to resolicit by bid in accordance with this section or by another method authorized by these Rules.,,,FALSE
"Under the circumstances set forth in this subdivision, the ACCO may determine that it is appropriate to reject all bids after opening and before vendor selection and to complete the acquisition by a new solicitation for which notice is provided as set forth in this subdivision",,"Verify that under the specified circumstances, the ACCO has determined it is appropriate to reject all bids after opening and before vendor selection, and has completed the acquisition by a new solicitation with notice provided as specified.",,,FALSE
"This procedure may be used where at least five responses to the solicitation have been received, and despite efforts to address problems in the solicitation by means of prebid conferences and issuance of amended specifications in accordance with these Rules, all responses are found to be non-responsive as a result of the same defect(s) in the specification or other solicitation documents",,"Verify that this procedure is used only when at least five responses to the solicitation have been received, and all responses are found to be non-responsive due to the same defect(s) in the specification or other solicitation documents, despite efforts to address these problems through prebid conferences and issuance of amended specifications.",,,FALSE
"When using this procedure, the ACCO shall: (i) make a determination that: (A) five or more bids have been received in response to the original solicitation; (B) all of the bids have been found to be non-responsive as a result of the same previously unresolved defect(s) in the solicitation documents; and (C) prior to opening the bids the agency had made diligent efforts to discover and correct defects in the solicitation documents by inviting questions from prospective bidders, holding pre-bid conferences, and issuing amendments to the solicitation documents as appropriate;",,"Verify that when using this procedure, the ACCO has made a determination that: (A) five or more bids have been received in response to the original solicitation; (B) all of the bids have been found to be non-responsive due to the same previously unresolved defect(s) in the solicitation documents; and (C) prior to opening the bids, the agency made diligent efforts to discover and correct defects in the solicitation documents by inviting questions from prospective bidders, holding pre-bid conferences, and issuing amendments to the solicitation documents as appropriate.",,,FALSE
All bids shall be retained,,Verify that all bids are retained.,,,FALSE
"When bids are rejected or a solicitation canceled after bids are received, the bids shall be retained and the bid security, if any, shall be promptly returned, and the file so documented",,"Verify that when bids are rejected or a solicitation is canceled after bids are received, the bids are retained, the bid security, if any, is promptly returned, and the file is documented accordingly.",,,FALSE
